ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
EGPB,medium_airport,Sumburgh Airport,20,EU,GB,GB-SCT,Lerwick,EGPB,LSI,,"-1.2955600023269653, 59.87889862060547"
EGPC,medium_airport,Wick Airport,126,EU,GB,GB-SCT,Wick,EGPC,WIC,,"-3.09306001663208, 58.458900451660156"
EGPD,large_airport,Aberdeen Dyce Airport,215,EU,GB,GB-SCT,Aberdeen,EGPD,ABZ,,"-2.197779893875122, 57.201900482177734"
EGPE,medium_airport,Inverness Airport,31,EU,GB,GB-SCT,Inverness,EGPE,INV,,"-4.047500133514404, 57.54249954223633"
EGPF,large_airport,Glasgow International Airport,26,EU,GB,GB-SCT,Glasgow,EGPF,GLA,,"-4.43306, 55.871899"
EGPH,large_airport,Edinburgh Airport,135,EU,GB,GB-SCT,Edinburgh,EGPH,EDI,,"-3.372499942779541, 55.95000076293945"
EGPI,medium_airport,Islay Airport,56,EU,GB,GB-SCT,Port Ellen,EGPI,ILY,,"-6.256669998168945, 55.68190002441406"
EGPK,medium_airport,Glasgow Prestwick Airport,65,EU,GB,GB-SCT,Glasgow,EGPK,PIK,,"-4.586669921875, 55.5093994140625"
EGPL,medium_airport,Benbecula Airport,19,EU,GB,GB-SCT,Balivanich,EGPL,BEB,,"-7.3627800941467285, 57.48109817504883"
EGPM,medium_airport,Scatsta Airport,81,EU,GB,GB-SCT,Shetland Islands,EGPM,SCS,,"-1.2961100339889526, 60.43280029296875"
EGPN,medium_airport,Dundee Airport,17,EU,GB,GB-SCT,Dundee,EGPN,DND,,"-3.025830030441284, 56.45249938964844"
EGPO,medium_airport,Stornoway Airport,26,EU,GB,GB-SCT,Stornoway,EGPO,SYY,,"-6.331110000610352, 58.215599060058594"
EGPR,medium_airport,Barra Airport,5,EU,GB,GB-SCT,Eoligarry,EGPR,BRR,,"-7.44306, 57.0228"
EGPU,medium_airport,Tiree Airport,38,EU,GB,GB-SCT,Balemartine,EGPU,TRE,,"-6.869170188903809, 56.49919891357422"
EGQK,medium_airport,RAF Kinloss,22,EU,GB,GB-SCT,Kinloss,EGQK,FSS,,"-3.56064009666, 57.6493988037"
EGQL,medium_airport,RAF Leuchars,38,EU,GB,GB-SCT,St. Andrews,EGQL,ADX,,"-2.8684399127960205, 56.37289810180664"
EGQS,medium_airport,RAF Lossiemouth,42,EU,GB,GB-SCT,Lossiemouth,EGQS,LMO,,"-3.339169979095459, 57.7052001953125"
EGSC,medium_airport,Cambridge Airport,47,EU,GB,GB-ENG,Cambridge,EGSC,CBG,,"0.175, 52.205002"
EGSH,large_airport,Norwich International Airport,117,EU,GB,GB-ENG,Norwich,EGSH,NWI,,"1.28278005123, 52.6758003235"
EGSS,large_airport,London Stansted Airport,348,EU,GB,GB-ENG,London,EGSS,STN,,"0.234999999404, 51.8849983215"
EGTC,medium_airport,Cranfield Airport,360,EU,GB,GB-ENG,Cranfield,EGTC,,,"-0.616667, 52.072201"
EGTE,large_airport,Exeter International Airport,102,EU,GB,GB-ENG,Exeter,EGTE,EXT,,"-3.4138898849487305, 50.73440170288086"
EGTK,medium_airport,Oxford (Kidlington) Airport,270,EU,GB,GB-ENG,Kidlington,EGTK,OXF,,"-1.32000005245, 51.8368988037"
EGUB,medium_airport,RAF Benson,226,EU,GB,GB-ENG,Benson,EGUB,BEX,,"-1.09582996368, 51.616401672399995"
EGUL,large_airport,RAF Lakenheath,32,EU,GB,GB-ENG,Lakenheath,EGUL,LKZ,,"0.56099998951, 52.409301757799994"
EGUN,large_airport,RAF Mildenhall,33,EU,GB,GB-ENG,Mildenhall,EGUN,MHZ,,"0.48640599846839905, 52.361900329589844"
EGUW,medium_airport,Wattisham Airfield,284,EU,GB,GB-ENG,Stowmarket,EGUW,,,"0.956189, 52.127451"
EGUY,medium_airport,RAF Wyton,135,EU,GB,GB-ENG,St. Ives,EGUY,QUY,,"-0.107832998037, 52.3572006226"
EGVA,large_airport,RAF Fairford,286,EU,GB,GB-ENG,Fairford,EGVA,FFD,,"-1.7900300025900002, 51.6822013855"
EGVN,large_airport,RAF Brize Norton,288,EU,GB,GB-ENG,Brize Norton,EGVN,BZZ,,"-1.58362, 51.75"
EGVO,medium_airport,RAF Odiham,405,EU,GB,GB-ENG,Odiham,EGVO,ODH,,"-0.94282501936, 51.2341003418"
EGWC,medium_airport,DCAE Cosford Air Base,272,EU,GB,GB-ENG,Cosford,EGWC,,,"-2.30558, 52.639999"
EGWU,medium_airport,RAF Northolt,124,EU,GB,GB-ENG,London,EGWU,NHT,,"-0.418166995049, 51.553001403799996"
EGXC,medium_airport,RAF Coningsby,25,EU,GB,GB-ENG,Coningsby,EGXC,QCY,,"-0.166014000773, 53.0929985046"
EGXD,medium_airport,RAF Dishforth,117,EU,GB,GB-ENG,Dishforth,EGXD,,,"-1.42025005817, 54.1371994019"
EGXE,medium_airport,RAF Leeming Air Base,132,EU,GB,GB-ENG,Leeming,EGXE,,,"-1.5354, 54.2924"
EGXG,medium_airport,Leeds East Airport,29,EU,GB,GB-ENG,Church Fenton,EGCM,,,"-1.1955, 53.834301"
EGXH,medium_airport,RAF Honington,174,EU,GB,GB-ENG,Thetford,EGXH,BEQ,,"0.7729390263557434, 52.34260177612305"
EGXP,medium_airport,RAF Scampton,202,EU,GB,GB-ENG,Scampton,EGXP,SQZ,,"-0.550832986832, 53.307800293"
EGXT,medium_airport,RAF Wittering,273,EU,GB,GB-ENG,Wittering,EGXT,,,"-0.476453, 52.612598"
EGXU,medium_airport,RAF Linton-On-Ouse,53,EU,GB,GB-ENG,Linton-On-Ouse,EGXU,HRT,,"-1.2527500391, 54.0489006042"
EGXW,medium_airport,RAF Waddington,231,EU,GB,GB-ENG,Waddington,EGXW,WTN,,"-0.523810982704, 53.1661987305"
EGXZ,medium_airport,RAF Topcliffe,92,EU,GB,GB-ENG,Topcliffe,EGXZ,,,"-1.3820899725, 54.205501556399994"
EGYD,medium_airport,RAF Cranwell,218,EU,GB,GB-ENG,Cranwell,EGYD,,,"-0.48324200511, 53.0303001404"
EGYE,medium_airport,RAF Barkston Heath,367,EU,GB,GB-ENG,Grantham,EGYE,,,"-0.561625003815, 52.962200164799995"
EGYM,medium_airport,RAF Marham,75,EU,GB,GB-ENG,Marham,EGYM,KNF,,"0.550692, 52.648395"
EPBP,medium_airport,Biała Podlaska Airfield,485,EU,PL,PL-LU,Biała Podlaska,EPBP,BXP,,"23.1325278, 52.00078"
EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,235,EU,PL,PL-KP,Bydgoszcz,EPBY,BZG,,"17.9776992798, 53.096801757799994"
EPCE,medium_airport,Cewice Air Base,495,EU,PL,PL-PM,Lębork,EPCE,,,"17.7633, 54.416"
EPDE,medium_airport,Deblin Military Air Base,392,EU,PL,PL-LU,Dęblin,EPDE,,,"21.8936004639, 51.551399231"
EPGD,large_airport,Gdańsk Lech Wałęsa Airport,489,EU,PL,PL-PM,Gdańsk,EPGD,GDN,,"18.46619987487793, 54.377601623535156"
EPIR,medium_airport,Inowroclaw Military Air Base,259,EU,PL,PL-KP,,EPIR,,,"18.3306007385, 52.8293991089"
EPKK,large_airport,Kraków John Paul II International Airport,791,EU,PL,PL-MA,Kraków,EPKK,KRK,,"19.7848, 50.077702"
EPKS,medium_airport,Krzesiny Military Air Base,265,EU,PL,PL-WP,,EPKS,,,"16.9664001465, 52.3316993713"
EPKT,large_airport,Katowice International Airport,995,EU,PL,PL-SL,Katowice,EPKT,KTW,,"19.08, 50.4743"
EPLK,medium_airport,Lask Military Air Base,633,EU,PL,PL-LD,,EPLK,,,"19.179100036599998, 51.551700592"
EPLL,medium_airport,Łódź Władysław Reymont Airport,604,EU,PL,PL-LD,Łódź,EPLL,LCJ,,"19.3980998993, 51.721900939899996"
EPLY,medium_airport,Leczyca Military Air Base,377,EU,PL,PL-LD,Leczyca,EPLY,,,"19.1455993652, 52.004699707"
EPMB,medium_airport,Malbork Military Air Base,16,EU,PL,PL-PM,,EPMB,,,"19.134199142499998, 54.0269012451"
EPMI,medium_airport,Miroslawiec Military Air Base,459,EU,PL,PL-ZP,Mirosławiec,EPMI,,,"16.0827999115, 53.395099639899996"
EPMM,medium_airport,Minsk Mazowiecki Military Air Base,604,EU,PL,PL-MZ,,EPMM,,,"21.6558990479, 52.1954994202"
EPMO,large_airport,Modlin Airport,341,EU,PL,PL-MZ,Warsaw,EPMO,WMI,,"20.6518, 52.451099"
EPOK,medium_airport,Oksywie Military Air Base,144,EU,PL,PL-PM,Gdynia,EPOK,QYD,,"18.51720047, 54.57970047"
EPPO,large_airport,Poznań-Ławica Airport,308,EU,PL,PL-WP,Poznań,EPPO,POZ,,"16.8262996674, 52.421001434299995"
EPPW,medium_airport,Powidz Military Air Base,371,EU,PL,PL-WP,,EPPW,,,"17.853901, 52.379398"
EPRA,medium_airport,Radom Airport,610,EU,PL,PL-MZ,Radom,EPRA,RDO,,"21.213300705, 51.3891983032"
EPRZ,medium_airport,Rzeszów-Jasionka Airport,693,EU,PL,PL-PK,Rzeszów,EPRZ,RZE,,"22.018999, 50.110001"
EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność"" Airport",154,EU,PL,PL-ZP,Goleniow,EPSC,SZZ,,"14.902199745199999, 53.584701538100006"
EPSN,medium_airport,Swidwin Military Air Base,385,EU,PL,PL-ZP,,EPSN,,,"15.826299667399999, 53.790599823"
EPSY,medium_airport,Olsztyn-Mazury Airport,463,EU,PL,PL-WN,Olsztyn,EPSY,SZY,,"20.9377, 53.481899"
EPTM,medium_airport,Tomaszow Mazowiecki Military Air Base,571,EU,PL,PL-LD,Tomaszów Mazowiecki,EPTM,,,"20.0977993011, 51.584400177"
EPWA,large_airport,Warsaw Chopin Airport,362,EU,PL,PL-MZ,Warsaw,EPWA,WAW,,"20.967100143399996, 52.1656990051"
EPWR,large_airport,Copernicus Wrocław Airport,404,EU,PL,PL-DS,Wrocław,EPWR,WRO,,"16.885799408, 51.1026992798"
EPZG,medium_airport,Zielona Góra-Babimost Airport,194,EU,PL,PL-LB,Babimost,EPZG,IEG,,"15.7986001968, 52.138500213600004"
ETAD,medium_airport,Spangdahlem Air Base,1197,EU,DE,DE-RP,Trier,ETAD,SPM,,"6.69250011444, 49.9726982117"
ETAR,large_airport,Ramstein Air Base,776,EU,DE,DE-RP,Ramstein,ETAR,RMS,,"7.600279808044434, 49.4369010925293"
ETHB,medium_airport,Bückeburg Air Base,230,EU,DE,DE-NI,,ETHB,,,"9.08217, 52.2785"
ETHC,medium_airport,Celle Army Airfield,129,EU,DE,DE-NI,,ETHC,,,"10.0221, 52.591202"
ETHF,medium_airport,Fritzlar Army Airfield,1345,EU,DE,DE-HE,Fritzlar,ETHF,FRZ,,"9.286, 51.1146"
ETHL,medium_airport,Laupheim Air Base,1766,EU,DE,DE-BW,,ETHL,,,"9.91002, 48.220299"
ETHM,medium_airport,Mendig Airfield,597,EU,DE,DE-RP,,EDRE,,,"7.31533, 50.366001"
ETHN,medium_airport,Niederstetten Army Air Base,1339,EU,DE,DE-BW,Niederstetten,ETHN,,,"9.958889, 49.391945"
ETHS,medium_airport,Fassberg Air Base,245,EU,DE,DE-NI,,ETHS,,,"10.185827, 52.919399"
ETIC,medium_airport,Grafenwohr Army Air Field,1363,EU,DE,DE-BY,,ETIC,,,"11.940199851989746, 49.698699951171875"
ETIH,medium_airport,Hohenfels Army Air Field,1455,EU,DE,DE-BY,,ETIH,,,"11.836099624633789, 49.218101501464844"
ETMN,medium_airport,Nordholz Naval Airbase,74,EU,DE,DE-NI,Cuxhaven,ETMN,FCN,,"8.658499717709999, 53.7677001953"
ETND,medium_airport,Diepholz Air Base,128,EU,DE,DE-NI,Diepholz,ETND,,,"8.342222, 52.585556"
ETNG,medium_airport,Geilenkirchen Air Base,296,EU,DE,DE-NW,,ETNG,GKE,,"6.04242, 50.9608"
ETNH,medium_airport,Hohn Air Base,39,EU,DE,DE-SH,,ETNH,,,"9.53817, 54.312199"
ETNL,medium_airport,Rostock-Laage Airport,138,EU,DE,DE-MV,Rostock,ETNL,RLG,,"12.278300285299999, 53.9182014465"
ETNN,medium_airport,Nörvenich Air Base,386,EU,DE,DE-NW,,ETNN,,,"6.65817, 50.8312"
ETNS,medium_airport,Schleswig Air Base,70,EU,DE,DE-SH,Jagel,ETNS,WBG,,"9.51633, 54.459301"
ETNT,medium_airport,Wittmundhafen Air Base,26,EU,DE,DE-NI,,ETNT,,,"7.66733, 53.547798"
ETNW,medium_airport,Wunstorf Air Base,187,EU,DE,DE-NI,,ETNW,,,"9.42717, 52.457298"
ETOU,medium_airport,Wiesbaden Army Airfield,461,EU,DE,DE-HE,Wiesbaden,ETOU,WIE,,"8.325400352478027, 50.049800872802734"
ETSB,medium_airport,Büchel Air Base,1568,EU,DE,DE-RP,,ETSB,,,"7.06333017349, 50.1738014221"
ETSH,medium_airport,Holzdorf Air Base,265,EU,DE,DE-BR,,ETSH,,,"13.1677, 51.767799"
ETSI,medium_airport,Ingolstadt Manching Airport,1202,EU,DE,DE-BY,Manching,ETSI,IGS,,"11.534000396728516, 48.7156982421875"
ETSL,medium_airport,Lechfeld Air Base,1822,EU,DE,DE-BY,Lagerlechfeld,ETSL,,,"10.8612, 48.185504"
ETSN,medium_airport,Neuburg AFB,1249,EU,DE,DE-BY,Neuburg (Donau),ETSN,,,"11.2115, 48.710999"
EVDA,medium_airport,Daugavpils Intrenational Airport,398,EU,LV,LV-DA,Daugavpils,EVDA,DGP,,"26.6650009155, 55.944721221900004"
EVKA,medium_airport,Jēkabpils Air Base,289,EU,LV,LV-JK,Jēkabpils,EVKA,,,"25.8925, 56.534698"
EVLA,medium_airport,Liepāja International Airport,16,EU,LV,LV-LE,Liepāja,EVLA,LPX,,"21.096900939941406, 56.51750183105469"
EVRA,large_airport,Riga International Airport,36,EU,LV,LV-RIX,Riga,EVRA,RIX,,"23.971099853515625, 56.92359924316406"
EVTA,medium_airport,Jūrmala Airport,220,EU,LV,LV-TU,Tukums,EVJA,,,"23.2239, 56.9422"
EVVA,medium_airport,Ventspils International Airport,19,EU,LV,LV-VEN,Ventspils,EVVA,VNT,,"21.5442008972, 57.35779953"
EYKA,medium_airport,Kaunas International Airport,256,EU,LT,LT-KU,Kaunas,EYKA,KUN,,"24.084800720214844, 54.96390151977539"
EYKD,medium_airport,Kėdainiai Air Base,171,EU,LT,LT-KU,Kėdainiai,EYKD,,,"23.95639991760254, 55.31169891357422"
EYPA,medium_airport,Palanga International Airport,33,EU,LT,LT-KL,Palanga,EYPA,PLQ,,"21.093900680541992, 55.973201751708984"
EYPP,medium_airport,Panevėžys Air Base,197,EU,LT,LT-PN,Panevėžys,EYPP,PNV,,"24.460800170898438, 55.729400634765625"
EYSA,medium_airport,Šiauliai International Airport,443,EU,LT,LT-SA,Šiauliai,EYSA,SQQ,,"23.395000457763672, 55.89390182495117"
EYSB,medium_airport,Barysiai Airfield,270,EU,LT,LT-SA,Šiauliai,EYSB,,,"23.5581, 56.070599"
EYVI,large_airport,Vilnius International Airport,648,EU,LT,LT-VL,Vilnius,EYVI,VNO,,"25.285801, 54.634102"
GB-OUK,medium_airport,Outer Skerries Airport,76,EU,GB,GB-SCT,Grunay Island,EGOU,OUK,,"-0.75, 60.4252"
LCRA,large_airport,RAF Akrotiri,76,EU,GB,GB-U-A,Akrotiri,LCRA,AKT,,"32.9879, 34.590401"
LUZ,medium_airport,Lublin Airport,633,EU,PL,PL-LU,Lublin,EPLB,LUZ,,"22.713611, 51.240278"
